filename,ast_similarity,codebleu,pass_rate,passk_status
FIND_ONE_EXTRA_CHARACTER_STRING_1,0.1082,0.7594,1.0,full_pass
PROGRAM_CHECK_ISBN,0.0273,0.5682,0.0,compile_error
FIND_WHETHER_A_GIVEN_NUMBER_IS_A_POWER_OF_4_OR_NOT_2,0.1217,0.6682,1.0,full_pass
SMALLEST_OF_THREE_INTEGERS_WITHOUT_COMPARISON_OPERATORS,0.1098,0.7396,1.0,full_pass
WAYS_TRANSFORMING_ONE_STRING_REMOVING_0_CHARACTERS,0.1,0.393,1.0,full_pass
COUNT_PAIRS_TWO_SORTED_ARRAYS_WHOSE_SUM_EQUAL_GIVEN_VALUE_X,0.6033,0.7391,0.0,compile_error
FIND_MAXIMUM_AVERAGE_SUBARRAY_OF_K_LENGTH,0.0423,0.6949,1.0,full_pass
FIND_MAXIMUM_SUM_POSSIBLE_EQUAL_SUM_THREE_STACKS,0.2201,0.4749,1.0,full_pass
CHECK_INTEGER_OVERFLOW_MULTIPLICATION,0.2791,0.8462,1.0,full_pass
COUNT_PAIRS_DIFFERENCE_EQUAL_K_1,0.0818,0.8413,1.0,full_pass
COUNT_OF_SUB_STRINGS_THAT_DO_NOT_CONTAIN_ALL_THE_CHARACTERS_FROM_THE_SET_A_B_C_AT_THE_SAME_TIME,0.0833,0.7979,0.0,compile_error
COUNTING_PAIRS_PERSON_CAN_FORM_PAIR_ONE_1,0.0435,0.8122,0.0,compile_error
SMALLEST_DIFFERENCE_PAIR_VALUES_TWO_UNSORTED_ARRAYS,0.6506,0.6986,0.0,compile_error
COUNT_TRAILING_ZEROES_FACTORIAL_NUMBER,0.034,0.736,0.0,compile_error
PROBABILITY_THREE_RANDOMLY_CHOSEN_NUMBERS_AP,0.284,0.845,1.0,full_pass
TRIANGULAR_NUMBERS,0.0302,0.7179,0.0,compile_error
C_PROGRAM_CONCATENATE_STRING_GIVEN_NUMBER_TIMES,0.049,0.8382,1.0,full_pass
MAXIMUM_SUM_SUBARRAY_REMOVING_ONE_ELEMENT,0.0443,0.4064,1.0,full_pass
HYPERCUBE_GRAPH,0.0,0.0,0.0,empty
MAXIMUM_NUMBER_CHOCOLATES_DISTRIBUTED_EQUALLY_AMONG_K_STUDENTS,0.0308,0.4764,1.0,full_pass
HOW_TO_CHECK_IF_A_GIVEN_ARRAY_REPRESENTS_A_BINARY_HEAP,0.0613,0.6541,1.0,full_pass
MAXIMUM_SUBARRAY_SUM_ARRAY_CREATED_REPEATED_CONCATENATION,0.0702,0.7024,1.0,full_pass
PROGRAM_TO_FIND_REMAINDER_WITHOUT_USING_MODULO_OR_OPERATOR,0.241,0.8252,1.0,full_pass
MAXIMUM_GAMES_PLAYED_WINNER,0.0541,0.7833,1.0,full_pass
COUNT_DISTINCT_NON_NEGATIVE_PAIRS_X_Y_SATISFY_INEQUALITY_XX_YY_N_2_1,0.2874,0.8144,1.0,full_pass
RECURSIVE_C_PROGRAM_LINEARLY_SEARCH_ELEMENT_GIVEN_ARRAY,0.1766,0.8141,1.0,full_pass
COUNT_DISTINCT_OCCURRENCES_AS_A_SUBSEQUENCE,0.0,0.0,0.0,empty
NTH_PENTAGONAL_NUMBER,0.2267,0.8377,1.0,full_pass
MINIMUM_PRODUCT_SUBSET_ARRAY,0.5469,0.4887,0.0,compile_error
COUNT_POSSIBLE_PATHS_TOP_LEFT_BOTTOM_RIGHT_NXM_MATRIX_1,0.0,0.0,0.0,empty
PROGRAM_CALCULATE_AREA_OCTAGON,0.0,0.0,0.0,empty
EQUILIBRIUM_INDEX_OF_AN_ARRAY,0.0922,0.7316,0.0,compile_error
LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION,0.0541,0.7588,1.0,full_pass
HOW_TO_PRINT_MAXIMUM_NUMBER_OF_A_USING_GIVEN_FOUR_KEYS,0.0623,0.5918,1.0,full_pass
PROGRAM_FIND_SLOPE_LINE,0.1724,0.7754,1.0,full_pass
GCD_ELEMENTS_GIVEN_RANGE,0.0284,0.7097,0.0,compile_error
LONGEST_SUBSEQUENCE_SUCH_THAT_DIFFERENCE_BETWEEN_ADJACENTS_IS_ONE,0.5857,0.5413,1.0,full_pass
CHECK_STRING_FOLLOWS_ANBN_PATTERN_NOT,0.0355,0.6901,0.0,compile_error
FIND_THE_MINIMUM_DISTANCE_BETWEEN_TWO_NUMBERS,0.0787,0.6635,0.0,compile_error
MINIMUM_LENGTH_SUBARRAY_SUM_GREATER_GIVEN_VALUE_1,0.037,0.5429,0.0,compile_error
COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY,0.0571,0.9418,0.0,compile_error
COUNT_PAIRS_WHOSE_PRODUCTS_EXIST_IN_ARRAY_1,0.5246,0.7861,1.0,full_pass
